,index,Ano,Produto,Quantidade produzida (Toneladas),Quantidade produzida (mil frutos),Rendimento médio da produção (Quilogramas por Hectare),Rendimento médio da produção (mil frutos por Hectare),Valor da produção (Mil Reais),Área colhida (Hectares),Área plantada ou destinada à colheita (Hectares)
0,0,2000.0,Abacate,17424.0,,726262.9329073481,,3872.0,1252.0,1266.0
1,1,2000.0,Abacaxi,467516.0,,1311350.61302682,,100418.0,20880.0,21004.0
2,2,2000.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
3,3,2000.0,Algodão herbáceo,24.0,,2600.0,,14.0,30.0,30.0
4,4,2000.0,Arroz,807630.0,,151899.73050882758,,221340.0,585778.0,612608.0
5,5,2000.0,Banana,155324.0,,216872.55001818843,,196224.0,109960.0,113220.0
6,6,2000.0,Borracha,2320.0,,11576.4046692607,,2084.0,2056.0,3958.0
7,7,2000.0,Cacau,56556.0,,40842.33352195272,,73608.0,77758.0,77810.0
8,8,2000.0,Café,70932.0,,88272.5839112344,,45546.0,34608.0,34922.0
9,9,2000.0,Castanha de caju,3930.0,,21170.14221891288,,2180.0,2686.0,3246.0
10,10,2000.0,Coco,,309914.0,,1046434.9082917557,69152.0,33672.0,34168.0
11,11,2000.0,Dendê,1034228.0,,235995.68936215132,,53326.0,75786.0,75786.0
12,12,2000.0,Feijão,93918.0,,81409.88172292095,,66056.0,146774.0,153466.0
13,13,2000.0,Goiaba,17040.0,,157265.4782608696,,2678.0,460.0,460.0
14,14,2000.0,Laranja,2431104.0,,7900775.146221493,,186410.0,26836.0,27062.0
15,15,2000.0,Limão,160552.0,,5204891.275167785,,4382.0,1192.0,1192.0
16,16,2000.0,Mamão,88972.0,,1169195.9902329077,,20830.0,2662.0,2676.0
17,17,2000.0,Mandioca,8158304.0,,1903295.1407599929,,476062.0,586374.0,604514.0
18,18,2000.0,Maracujá,301516.0,,4307860.550906555,,40192.0,5736.0,5782.0
19,19,2000.0,Melancia,13198.0,,237990.37745740497,,12598.0,3052.0,3052.0
20,20,2000.0,Milho,1064662.0,,143167.21478941318,,246562.0,786184.0,839868.0
21,21,2000.0,Sorgo,0.0,,0.0,,0.0,0.0,0.0
22,22,2000.0,Tangerina,56062.0,,3347461.833333333,,2678.0,480.0,480.0
23,23,2000.0,Tomate,12124.0,,426460.0938967136,,7302.0,426.0,436.0
24,24,2000.0,Uva,0.0,,0.0,,0.0,0.0,0.0
25,25,2001.0,Abacate,7340.0,,309610.1929824561,,1896.0,570.0,576.0
26,26,2001.0,Abacaxi,417948.0,,1323278.3906369917,,149626.0,20848.0,20922.0
27,27,2001.0,Algodão arbóreo,0.0,,0.0,,0.0,0.0,0.0
28,28,2001.0,Algodão herbáceo,0.0,,0.0,,0.0,0.0,0.0
29,29,2001.0,Arroz,782930.0,,162714.614673256,,263860.0,471470.0,485482.0
30,30,2001.0,Banana,1424834.0,,1807744.5404297644,,359072.0,116622.0,119888.0
31,31,2001.0,Borracha,2930.0,,13505.99664710813,,2940.0,2386.0,4800.0
32,32,2001.0,Cacau,58056.0,,42862.52356697779,,101346.0,77354.0,77474.0
33,33,2001.0,Café,58866.0,,83571.10276524808,,34964.0,30594.0,44436.0
